10000 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（1）班', 'classid': '26553', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
10102 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '25211', 'pageindex': 0, 'classname': '（1）班', 'classid': '25226', 'schoolname': '汉滨区铁路小学', 'gradeid': '25214', 'draw': 0, 'isadmin': 0, 'length': 10}]
10103 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '10990', 'pageindex': 0, 'classname': '（1）班', 'classid': '11009', 'schoolname': '苏州市金阊留园中心小学', 'gradeid': '10995', 'draw': 0, 'isadmin': 0, 'length': 10}]
10110 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '11408', 'pageindex': 0, 'classname': '（3）班', 'classid': '12886', 'schoolname': '杜曲中学', 'gradeid': '12857', 'draw': 0, 'isadmin': 0, 'length': 10}]
10112 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '3613', 'pageindex': 0, 'classname': '（2）班', 'classid': '3949', 'schoolname': '南京市溧水区东屏初级中学', 'gradeid': '3922', 'draw': 0, 'isadmin': 0, 'length': 10}]
10116 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '2882', 'pageindex': 0, 'classname': '（2）班', 'classid': '2990', 'schoolname': '太仓市沙溪镇第二小学', 'gradeid': '2966', 'draw': 0, 'isadmin': 0, 'length': 10}]
10122 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11114', 'pageindex': 0, 'classname': '（2）班', 'classid': '12053', 'schoolname': '长安区阳光晟恩幼儿园', 'gradeid': '12039', 'draw': 0, 'isadmin': 0, 'length': 10}]
10126 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '15970', 'pageindex': 0, 'classname': '（3）班', 'classid': '18433', 'schoolname': '昆明市五华区团山小学', 'gradeid': '16426', 'draw': 0, 'isadmin': 0, 'length': 10}]
10132 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '8286', 'pageindex': 0, 'classname': '（9）班', 'classid': '15800', 'schoolname': '江苏省溧水高级中学附属初级中学', 'gradeid': '15784', 'draw': 0, 'isadmin': 0, 'length': 10}]
10136 [{'gradename': '教室', 'start': 0, 'pageno': 1, 'schoolid': '8719', 'pageindex': 0, 'classname': '3-102', 'classid': '8847', 'schoolname': '湖北丹江口第一中学', 'gradeid': '8888', 'draw': 0, 'isadmin': 0, 'length': 10}]
10137 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '23927', 'pageindex': 0, 'classname': '（1）班', 'classid': '24298', 'schoolname': '龙江中学', 'gradeid': '24269', 'draw': 0, 'isadmin': 0, 'length': 10}]
10145 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '1103', 'pageindex': 0, 'classname': '（1）班', 'classid': '1120', 'schoolname': '江山市贺村第三小学', 'gradeid': '1106', 'draw': 0, 'isadmin': 0, 'length': 10}]
10149 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '4390', 'pageindex': 0, 'classname': '（4）班', 'classid': '4397', 'schoolname': '上海市亭林中学', 'gradeid': '4391', 'draw': 0, 'isadmin': 0, 'length': 10}]
10152 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '6837', 'pageindex': 0, 'classname': '（5）班', 'classid': '6866', 'schoolname': '南京市北京东路小学', 'gradeid': '6841', 'draw': 0, 'isadmin': 0, 'length': 10}]
10154 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '22440', 'pageindex': 0, 'classname': '（1）班', 'classid': '25442', 'schoolname': '滨州市滨城区第六中学', 'gradeid': '25407', 'draw': 0, 'isadmin': 0, 'length': 10}]
10165 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '1041', 'pageindex': 0, 'classname': '（12）班', 'classid': '8259', 'schoolname': '常熟市东南实验小学', 'gradeid': '2025', 'draw': 0, 'isadmin': 0, 'length': 10}]
10169 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '15910', 'pageindex': 0, 'classname': '（7）班', 'classid': '16663', 'schoolname': '康平县第二中学', 'gradeid': '16061', 'draw': 0, 'isadmin': 0, 'length': 10}]
10172 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '11389', 'pageindex': 0, 'classname': '（1）班', 'classid': '15229', 'schoolname': '长安区大兆街道章曲小学', 'gradeid': '14169', 'draw': 0, 'isadmin': 0, 'length': 10}]
10173 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '3943', 'pageindex': 0, 'classname': '（4）班', 'classid': '4158', 'schoolname': '南京溧水区公交幼儿园', 'gradeid': '4152', 'draw': 0, 'isadmin': 0, 'length': 10}]
10174 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '11050', 'pageindex': 0, 'classname': '（5）班', 'classid': '24826', 'schoolname': '绍兴元培中学', 'gradeid': '24811', 'draw': 0, 'isadmin': 0, 'length': 10}]
10177 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '15907', 'pageindex': 0, 'classname': '（5）班', 'classid': '16511', 'schoolname': '康平县高级中学', 'gradeid': '16050', 'draw': 0, 'isadmin': 0, 'length': 10}]
10178 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '9356', 'pageindex': 0, 'classname': '（2）班', 'classid': '9361', 'schoolname': '南京市江宁区土桥初级中学', 'gradeid': '9357', 'draw': 0, 'isadmin': 0, 'length': 10}]
10179 [{'gradename': '高三111', 'start': 0, 'pageno': 1, 'schoolid': '4390', 'pageindex': 0, 'classname': '（3）班', 'classid': '4408', 'schoolname': '上海市亭林中学', 'gradeid': '4393', 'draw': 0, 'isadmin': 0, 'length': 10}]
10180 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '15926', 'pageindex': 0, 'classname': '（1）班', 'classid': '17055', 'schoolname': '康平县海洲九年一贯制学校', 'gradeid': '16178', 'draw': 0, 'isadmin': 0, 'length': 10}]
10181 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11281', 'pageindex': 0, 'classname': '（1）班', 'classid': '13540', 'schoolname': '杨庄街道新蕾幼儿园', 'gradeid': '13101', 'draw': 0, 'isadmin': 0, 'length': 10}]
10182 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '8286', 'pageindex': 0, 'classname': '（6）班', 'classid': '15814', 'schoolname': '江苏省溧水高级中学附属初级中学', 'gradeid': '15785', 'draw': 0, 'isadmin': 0, 'length': 10}]
10183 [{'gradename': '初三111', 'start': 0, 'pageno': 1, 'schoolid': '907', 'pageindex': 0, 'classname': '（8）班', 'classid': '1382', 'schoolname': '南京市旭东中学', 'gradeid': '1351', 'draw': 0, 'isadmin': 0, 'length': 10}]
10188 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '15920', 'pageindex': 0, 'classname': '（3）班', 'classid': '16920', 'schoolname': '康平县二牛所口九年一贯制学校', 'gradeid': '16132', 'draw': 0, 'isadmin': 0, 'length': 10}]
10197 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '3406', 'pageindex': 0, 'classname': '（1）班', 'classid': '3510', 'schoolname': '温州市龙湾区外国语小学', 'gradeid': '3488', 'draw': 0, 'isadmin': 0, 'length': 10}]
10205 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11112', 'pageindex': 0, 'classname': '（2）班', 'classid': '12019', 'schoolname': '新天地幼儿园', 'gradeid': '12006', 'draw': 0, 'isadmin': 0, 'length': 10}]
10207 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '8658', 'pageindex': 0, 'classname': '（12）班', 'classid': '9746', 'schoolname': '扬州市梅岭中学', 'gradeid': '9315', 'draw': 0, 'isadmin': 0, 'length': 10}]
10211 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '23923', 'pageindex': 0, 'classname': '（4）班', 'classid': '23958', 'schoolname': '广州市美术学院附中', 'gradeid': '23952', 'draw': 0, 'isadmin': 0, 'length': 10}]
10213 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（16）班', 'classid': '26568', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
10214 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11103', 'pageindex': 0, 'classname': '（4）班', 'classid': '11751', 'schoolname': '童瑶幼儿园', 'gradeid': '11729', 'draw': 0, 'isadmin': 0, 'length': 10}]
10220 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '15911', 'pageindex': 0, 'classname': '（1）班', 'classid': '16678', 'schoolname': '康平县向阳小学', 'gradeid': '16063', 'draw': 0, 'isadmin': 0, 'length': 10}]
10222 [{'gradename': '多媒体功能教室', 'start': 0, 'pageno': 1, 'schoolid': '7512', 'pageindex': 0, 'classname': '计算机3', 'classid': '7837', 'schoolname': '南京溧水经济开发区小学', 'gradeid': '7827', 'draw': 0, 'isadmin': 0, 'length': 10}]
10225 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '11423', 'pageindex': 0, 'classname': '（3）班', 'classid': '12302', 'schoolname': '长安区第一民办中学', 'gradeid': '12283', 'draw': 0, 'isadmin': 0, 'length': 10}]
10226 [{'gradename': '和美楼', 'start': 0, 'pageno': 1, 'schoolid': '5685', 'pageindex': 0, 'classname': '科学实验室', 'classid': '8602', 'schoolname': '江阴高新区长山中心小学', 'gradeid': '8600', 'draw': 0, 'isadmin': 0, 'length': 10}]
10232 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '369', 'pageindex': 0, 'classname': '（8）班', 'classid': '1873', 'schoolname': '吴江思贤实验小学', 'gradeid': '374', 'draw': 0, 'isadmin': 0, 'length': 10}]
10233 [{'gradename': '三楼公共大屏', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '2', 'classid': '1274', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '1194', 'draw': 0, 'isadmin': 0, 'length': 10}]
10234 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '15978', 'pageindex': 0, 'classname': '（6）班', 'classid': '18685', 'schoolname': '昆明市五华区红云小学新峰校区', 'gradeid': '16476', 'draw': 0, 'isadmin': 0, 'length': 10}]
10235 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '11307', 'pageindex': 0, 'classname': '（2）班', 'classid': '14445', 'schoolname': '大兆街道三益小学', 'gradeid': '13730', 'draw': 0, 'isadmin': 0, 'length': 10}]
10239 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '9002', 'pageindex': 0, 'classname': '（8）班', 'classid': '9013', 'schoolname': '邹城四中', 'gradeid': '9003', 'draw': 0, 'isadmin': 0, 'length': 10}]
10243 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（2）班', 'classid': '5979', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5871', 'draw': 0, 'isadmin': 0, 'length': 10}]
10246 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '22612', 'pageindex': 0, 'classname': '（4）班', 'classid': '22793', 'schoolname': '南京八卦洲中桥中学', 'gradeid': '22788', 'draw': 0, 'isadmin': 0, 'length': 10}]
10249 [{'gradename': '初三 ', 'start': 0, 'pageno': 1, 'schoolid': '5736', 'pageindex': 0, 'classname': '办公室', 'classid': '5807', 'schoolname': '台州市路桥区横街镇中学', 'gradeid': '5739', 'draw': 0, 'isadmin': 0, 'length': 10}]
10250 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '22611', 'pageindex': 0, 'classname': '（2）班', 'classid': '22774', 'schoolname': '南京市伯乐中学', 'gradeid': '22763', 'draw': 0, 'isadmin': 0, 'length': 10}]
10258 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '2117', 'pageindex': 0, 'classname': '（5）班', 'classid': '2169', 'schoolname': '徐州丰县广宇中英文学校', 'gradeid': '2155', 'draw': 0, 'isadmin': 0, 'length': 10}]
10262 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（2）班', 'classid': '5918', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5865', 'draw': 0, 'isadmin': 0, 'length': 10}]
10264 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '6058', 'pageindex': 0, 'classname': '（9）班', 'classid': '8921', 'schoolname': '扬州大学附属中学', 'gradeid': '8910', 'draw': 0, 'isadmin': 0, 'length': 10}]
10270 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '10395', 'pageindex': 0, 'classname': '（2）（3）班', 'classid': '10465', 'schoolname': '新绛县西街实验小学北校', 'gradeid': '10458', 'draw': 0, 'isadmin': 0, 'length': 10}]
10273 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '1662', 'pageindex': 0, 'classname': '（1）班', 'classid': '1668', 'schoolname': '新沂市新华小学', 'gradeid': '1663', 'draw': 0, 'isadmin': 0, 'length': 10}]
10278 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '11423', 'pageindex': 0, 'classname': '（6）班', 'classid': '12346', 'schoolname': '长安区第一民办中学', 'gradeid': '12281', 'draw': 0, 'isadmin': 0, 'length': 10}]
10283 [{'gradename': '高三1部', 'start': 0, 'pageno': 1, 'schoolid': '7955', 'pageindex': 0, 'classname': '（9）班', 'classid': '8042', 'schoolname': '江苏省泗阳致远中学', 'gradeid': '7961', 'draw': 0, 'isadmin': 0, 'length': 10}]
10294 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '748', 'pageindex': 0, 'classname': '（4）班', 'classid': '768', 'schoolname': '江山贺村第二小学', 'gradeid': '749', 'draw': 0, 'isadmin': 0, 'length': 10}]
10301 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11372', 'pageindex': 0, 'classname': '（1）班', 'classid': '22145', 'schoolname': '东大街道祥峪幼儿园', 'gradeid': '22141', 'draw': 0, 'isadmin': 0, 'length': 10}]
10307 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '11370', 'pageindex': 0, 'classname': '（2）班', 'classid': '15112', 'schoolname': '郭杜街道香积寺小学', 'gradeid': '14077', 'draw': 0, 'isadmin': 0, 'length': 10}]
10316 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11289', 'pageindex': 0, 'classname': '（2）班', 'classid': '23546', 'schoolname': '西安市长安区第二幼儿园', 'gradeid': '23544', 'draw': 0, 'isadmin': 0, 'length': 10}]
10326 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11285', 'pageindex': 0, 'classname': '（3）班', 'classid': '13566', 'schoolname': '引镇街道新开发幼儿园', 'gradeid': '13110', 'draw': 0, 'isadmin': 0, 'length': 10}]
10327 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '11329', 'pageindex': 0, 'classname': '（1）班', 'classid': '14672', 'schoolname': '滦镇北八元小学', 'gradeid': '13857', 'draw': 0, 'isadmin': 0, 'length': 10}]
10343 [{'gradename': '九年级(2020)', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（1）班', 'classid': '5984', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5872', 'draw': 0, 'isadmin': 0, 'length': 10}]
10344 [{'gradename': '公共区域大屏', 'start': 0, 'pageno': 1, 'schoolid': '8286', 'pageindex': 0, 'classname': '北楼4F东楼梯', 'classid': '8302', 'schoolname': '江苏省溧水高级中学附属初级中学', 'gradeid': '8287', 'draw': 0, 'isadmin': 0, 'length': 10}]
10351 [{'gradename': '学前班', 'start': 0, 'pageno': 1, 'schoolid': '11306', 'pageindex': 0, 'classname': '（1）班', 'classid': '14437', 'schoolname': '大兆街道庞留小学', 'gradeid': '13727', 'draw': 0, 'isadmin': 0, 'length': 10}]
10352 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '18830', 'pageindex': 0, 'classname': '（1）班', 'classid': '19879', 'schoolname': '鸣犊街道嘴头小学', 'gradeid': '19867', 'draw': 0, 'isadmin': 0, 'length': 10}]
10361 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '11411', 'pageindex': 0, 'classname': '（2）班', 'classid': '12653', 'schoolname': '滦镇景民中学', 'gradeid': '12633', 'draw': 0, 'isadmin': 0, 'length': 10}]
10365 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11364', 'pageindex': 0, 'classname': '（3）班', 'classid': '15497', 'schoolname': '西安市长安区滦镇街道中心学校', 'gradeid': '15487', 'draw': 0, 'isadmin': 0, 'length': 10}]
10368 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11394', 'pageindex': 0, 'classname': '（2）班', 'classid': '15342', 'schoolname': '韦曲街道申店小学', 'gradeid': '14205', 'draw': 0, 'isadmin': 0, 'length': 10}]
10375 [{'gradename': '二', 'start': 0, 'pageno': 1, 'schoolid': '3747', 'pageindex': 0, 'classname': '（6）春蕾班', 'classid': '3837', 'schoolname': '泗阳县众兴实验小学', 'gradeid': '3761', 'draw': 0, 'isadmin': 0, 'length': 10}]
10376 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（2）班', 'classid': '6780', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '6744', 'draw': 0, 'isadmin': 0, 'length': 10}]
10378 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '11412', 'pageindex': 0, 'classname': '（1）班', 'classid': '12623', 'schoolname': '砲里街道初级中学', 'gradeid': '12622', 'draw': 0, 'isadmin': 0, 'length': 10}]
10381 [{'gradename': '实训楼B', 'start': 0, 'pageno': 1, 'schoolid': '10257', 'pageindex': 0, 'classname': '数控铣床实训', 'classid': '25372', 'schoolname': '天台职业中专', 'gradeid': '25315', 'draw': 0, 'isadmin': 0, 'length': 10}]
10382 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '4028', 'pageindex': 0, 'classname': '（3）班', 'classid': '4034', 'schoolname': '衢州市兴华中学', 'gradeid': '4029', 'draw': 0, 'isadmin': 0, 'length': 10}]
10383 [{'gradename': '六年级（毕业）', 'start': 0, 'pageno': 1, 'schoolid': '3782', 'pageindex': 0, 'classname': '( 7 ) 班', 'classid': '4742', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradeid': '3788', 'draw': 0, 'isadmin': 0, 'length': 10}]
10395 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '15967', 'pageindex': 0, 'classname': '（2）班', 'classid': '18389', 'schoolname': '昆明市五华区龙翔小学', 'gradeid': '16410', 'draw': 0, 'isadmin': 0, 'length': 10}]
10397 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '1103', 'pageindex': 0, 'classname': '（5）班', 'classid': '1114', 'schoolname': '江山市贺村第三小学', 'gradeid': '1104', 'draw': 0, 'isadmin': 0, 'length': 10}]
10404 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11115', 'pageindex': 0, 'classname': '（3）班', 'classid': '12069', 'schoolname': '西安市长安区韦曲街道艺林春天幼儿园', 'gradeid': '12056', 'draw': 0, 'isadmin': 0, 'length': 10}]
10406 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '10621', 'pageindex': 0, 'classname': '（1）班', 'classid': '10631', 'schoolname': '同济大学附属存志东校（上海市十五中学）', 'gradeid': '10622', 'draw': 0, 'isadmin': 0, 'length': 10}]
10415 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '11304', 'pageindex': 0, 'classname': '（4）班', 'classid': '12804', 'schoolname': '西安郭杜大学城学校（小学部）', 'gradeid': '12794', 'draw': 0, 'isadmin': 0, 'length': 10}]
