10012 [{'pageno': 1, 'start': 0, 'classname': '（6）百合班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3887', 'draw': 0, 'gradeid': '3854', 'schoolname': '泗阳县众兴实验小学', 'gradename': '五', 'pageindex': 0, 'length': 10}]
10232 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '369', 'isadmin': 0, 'classid': '1873', 'draw': 0, 'gradeid': '374', 'schoolname': '吴江思贤实验小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
10233 [{'pageno': 1, 'start': 0, 'classname': '2', 'schoolid': '944', 'isadmin': 0, 'classid': '1274', 'draw': 0, 'gradeid': '1194', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '三楼公共大屏', 'pageindex': 0, 'length': 10}]
10243 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5979', 'draw': 0, 'gradeid': '5871', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '八年级', 'pageindex': 0, 'length': 10}]
10249 [{'pageno': 1, 'start': 0, 'classname': '办公室', 'schoolid': '5736', 'isadmin': 0, 'classid': '5807', 'draw': 0, 'gradeid': '5739', 'schoolname': '台州市路桥区横街镇中学', 'gradename': '初三 ', 'pageindex': 0, 'length': 10}]
10258 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2169', 'draw': 0, 'gradeid': '2155', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '八年级', 'pageindex': 0, 'length': 10}]
10262 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5918', 'draw': 0, 'gradeid': '5865', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10273 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '1668', 'draw': 0, 'gradeid': '1663', 'schoolname': '新沂市新华小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10294 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '748', 'isadmin': 0, 'classid': '768', 'draw': 0, 'gradeid': '749', 'schoolname': '江山贺村第二小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10343 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5984', 'draw': 0, 'gradeid': '5872', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '九年级', 'pageindex': 0, 'length': 10}]
10375 [{'pageno': 1, 'start': 0, 'classname': '（6）春蕾班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3837', 'draw': 0, 'gradeid': '3761', 'schoolname': '泗阳县众兴实验小学', 'gradename': '二', 'pageindex': 0, 'length': 10}]
10376 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '6780', 'draw': 0, 'gradeid': '6744', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '七年级', 'pageindex': 0, 'length': 10}]
10382 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '4028', 'isadmin': 0, 'classid': '4034', 'draw': 0, 'gradeid': '4029', 'schoolname': '衢州市兴华中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10383 [{'pageno': 1, 'start': 0, 'classname': '( 7 ) 班', 'schoolid': '3782', 'isadmin': 0, 'classid': '4742', 'draw': 0, 'gradeid': '3788', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
10397 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '1103', 'isadmin': 0, 'classid': '1114', 'draw': 0, 'gradeid': '1104', 'schoolname': '江山市淤头小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10417 [{'pageno': 1, 'start': 0, 'classname': 'LED1', 'schoolid': '3744', 'isadmin': 0, 'classid': '4846', 'draw': 0, 'gradeid': '4845', 'schoolname': '南京市溧水区石湫镇中心小学', 'gradename': 'LED大屏', 'pageindex': 0, 'length': 10}]
10423 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '947', 'isadmin': 0, 'classid': '992', 'draw': 0, 'gradeid': '950', 'schoolname': '江苏省溧水高级中学', 'gradename': '原高三', 'pageindex': 0, 'length': 10}]
10437 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '1045', 'isadmin': 0, 'classid': '7067', 'draw': 0, 'gradeid': '7062', 'schoolname': '常熟市周行中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10439 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '4755', 'isadmin': 0, 'classid': '4770', 'draw': 0, 'gradeid': '4756', 'schoolname': '无锡市中育实验中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10446 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5927', 'draw': 0, 'gradeid': '5866', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10480 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3039', 'isadmin': 0, 'classid': '3121', 'draw': 0, 'gradeid': '3117', 'schoolname': '太仓市城厢镇第一小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10490 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '4028', 'isadmin': 0, 'classid': '4033', 'draw': 0, 'gradeid': '4029', 'schoolname': '衢州市兴华中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10502 [{'pageno': 1, 'start': 0, 'classname': '（12）班', 'schoolid': '1068', 'isadmin': 0, 'classid': '1816', 'draw': 0, 'gradeid': '1069', 'schoolname': '连云港市赣榆县第一中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10507 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '7512', 'isadmin': 0, 'classid': '7570', 'draw': 0, 'gradeid': '7516', 'schoolname': '南京溧水经济开发区小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
10510 [{'pageno': 1, 'start': 0, 'classname': '（14）班', 'schoolid': '4775', 'isadmin': 0, 'classid': '5449', 'draw': 0, 'gradeid': '5410', 'schoolname': '南通市北城小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10511 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2636', 'draw': 0, 'gradeid': '2623', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10520 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '5858', 'isadmin': 0, 'classid': '5930', 'draw': 0, 'gradeid': '5866', 'schoolname': '北京新东方扬州外国语学校', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10524 [{'pageno': 1, 'start': 0, 'classname': '（36）班', 'schoolid': '1387', 'isadmin': 0, 'classid': '1880', 'draw': 0, 'gradeid': '1388', 'schoolname': '上饶市广丰一中', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
10537 [{'pageno': 1, 'start': 0, 'classname': '二', 'schoolid': '3611', 'isadmin': 0, 'classid': '3916', 'draw': 0, 'gradeid': '3914', 'schoolname': '南京市溧水区洪蓝初级中学', 'gradename': '公共区域大屏', 'pageindex': 0, 'length': 10}]
10565 [{'pageno': 1, 'start': 0, 'classname': '（2）向日葵班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3750', 'draw': 0, 'gradeid': '3748', 'schoolname': '泗阳县众兴实验小学', 'gradename': '一', 'pageindex': 0, 'length': 10}]
10577 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '4800', 'isadmin': 0, 'classid': '5014', 'draw': 0, 'gradeid': '4992', 'schoolname': '贵州省施秉县民族中学', 'gradename': '九年级原', 'pageindex': 0, 'length': 10}]
10583 [{'pageno': 1, 'start': 0, 'classname': '舞蹈初级2-1', 'schoolid': '3575', 'isadmin': 0, 'classid': '5290', 'draw': 0, 'gradeid': '5247', 'schoolname': '遂昌县青少年宫', 'gradename': '舞蹈', 'pageindex': 0, 'length': 10}]
10606 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '5499', 'isadmin': 0, 'classid': '5525', 'draw': 0, 'gradeid': '5503', 'schoolname': '苏州湾实验小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10609 [{'pageno': 1, 'start': 0, 'classname': '19届历史02班(等级)', 'schoolid': '955', 'isadmin': 0, 'classid': '2517', 'draw': 0, 'gradeid': '2222', 'schoolname': '上海理工大学附属中学', 'gradename': '高三教学班', 'pageindex': 0, 'length': 10}]
10618 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '3943', 'isadmin': 0, 'classid': '4165', 'draw': 0, 'gradeid': '4154', 'schoolname': '南京溧水区工交幼儿园', 'gradename': '大班2018', 'pageindex': 0, 'length': 10}]
10631 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '1662', 'isadmin': 0, 'classid': '1670', 'draw': 0, 'gradeid': '1663', 'schoolname': '新沂市新华小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10638 [{'pageno': 1, 'start': 0, 'classname': '录播室（2）', 'schoolid': '3744', 'isadmin': 0, 'classid': '4828', 'draw': 0, 'gradeid': '4810', 'schoolname': '南京市溧水区石湫镇中心小学', 'gradename': '功能室-', 'pageindex': 0, 'length': 10}]
10645 [{'pageno': 1, 'start': 0, 'classname': '(1)', 'schoolid': '867', 'isadmin': 0, 'classid': '1166', 'draw': 0, 'gradeid': '1152', 'schoolname': '无锡连元英禾双语学校', 'gradename': '创客VR教室', 'pageindex': 0, 'length': 10}]
10665 [{'pageno': 1, 'start': 0, 'classname': '（6）小荷班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3754', 'draw': 0, 'gradeid': '3748', 'schoolname': '泗阳县众兴实验小学', 'gradename': '一', 'pageindex': 0, 'length': 10}]
10683 [{'pageno': 1, 'start': 0, 'classname': '16级（3）班', 'schoolid': '4803', 'isadmin': 0, 'classid': '5184', 'draw': 0, 'gradeid': '5121', 'schoolname': '黄平县中等职业学校', 'gradename': '学前教育', 'pageindex': 0, 'length': 10}]
10701 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '6256', 'draw': 0, 'gradeid': '6249', 'schoolname': '南京汉开书院', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10706 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '3036', 'isadmin': 0, 'classid': '3137', 'draw': 0, 'gradeid': '3127', 'schoolname': '太仓市新区第三小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
10707 [{'pageno': 1, 'start': 0, 'classname': '（19）班', 'schoolid': '6405', 'isadmin': 0, 'classid': '7145', 'draw': 0, 'gradeid': '7102', 'schoolname': '盐城市射阳县港城实验小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10710 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3216', 'isadmin': 0, 'classid': '3230', 'draw': 0, 'gradeid': '3219', 'schoolname': '南京汉开书院', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
10725 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '1068', 'isadmin': 0, 'classid': '1808', 'draw': 0, 'gradeid': '1069', 'schoolname': '连云港市赣榆县第一中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10762 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '3401', 'isadmin': 0, 'classid': '3403', 'draw': 0, 'gradeid': '3402', 'schoolname': '江苏省震泽中学', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
10772 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '6571', 'isadmin': 0, 'classid': '6589', 'draw': 0, 'gradeid': '6574', 'schoolname': '洛阳西工区外国语小学', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
10782 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3782', 'isadmin': 0, 'classid': '3792', 'draw': 0, 'gradeid': '3783', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
10783 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '5839', 'isadmin': 0, 'classid': '6341', 'draw': 0, 'gradeid': '6319', 'schoolname': '三盟科技大学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10823 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '2916', 'isadmin': 0, 'classid': '3011', 'draw': 0, 'gradeid': '3000', 'schoolname': '太仓市科教新城实验小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
10824 [{'pageno': 1, 'start': 0, 'classname': '公共大屏', 'schoolid': '1041', 'isadmin': 0, 'classid': '3573', 'draw': 0, 'gradeid': '3304', 'schoolname': '常熟市东南实验小学', 'gradename': '公共区域大屏', 'pageindex': 0, 'length': 10}]
10826 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '3782', 'isadmin': 0, 'classid': '3815', 'draw': 0, 'gradeid': '3787', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10828 [{'pageno': 1, 'start': 0, 'classname': '合班教室3', 'schoolid': '1057', 'isadmin': 0, 'classid': '7400', 'draw': 0, 'gradeid': '7380', 'schoolname': '江苏省太仓高级中学', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
10832 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '947', 'isadmin': 0, 'classid': '961', 'draw': 0, 'gradeid': '948', 'schoolname': '江苏省溧水高级中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10840 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '6103', 'isadmin': 0, 'classid': '6444', 'draw': 0, 'gradeid': '6433', 'schoolname': '永康崇德学校', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10843 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '2920', 'isadmin': 0, 'classid': '3180', 'draw': 0, 'gradeid': '3046', 'schoolname': '温州市龙湾区永兴第二小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10855 [{'pageno': 1, 'start': 0, 'classname': '预留1', 'schoolid': '944', 'isadmin': 0, 'classid': '2108', 'draw': 0, 'gradeid': '2085', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '综合楼四层', 'pageindex': 0, 'length': 10}]
10866 [{'pageno': 1, 'start': 0, 'classname': '（10）敏学班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3865', 'draw': 0, 'gradeid': '3852', 'schoolname': '泗阳县众兴实验小学', 'gradename': '三', 'pageindex': 0, 'length': 10}]
10869 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '5499', 'isadmin': 0, 'classid': '5533', 'draw': 0, 'gradeid': '5505', 'schoolname': '苏州湾实验小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
10890 [{'pageno': 1, 'start': 0, 'classname': '（16）班', 'schoolid': '904', 'isadmin': 0, 'classid': '1503', 'draw': 0, 'gradeid': '905', 'schoolname': '南京市浦口区实验小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
10898 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '1048', 'isadmin': 0, 'classid': '2316', 'draw': 0, 'gradeid': '2254', 'schoolname': '南京晓庄学院滨河实验学校', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
10899 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '748', 'isadmin': 0, 'classid': '780', 'draw': 0, 'gradeid': '753', 'schoolname': '江山贺村第二小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
10910 [{'pageno': 1, 'start': 0, 'classname': '19届物理01班(等级)', 'schoolid': '955', 'isadmin': 0, 'classid': '2509', 'draw': 0, 'gradeid': '2222', 'schoolname': '上海理工大学附属中学', 'gradename': '高三教学班', 'pageindex': 0, 'length': 10}]
10912 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3610', 'isadmin': 0, 'classid': '3998', 'draw': 0, 'gradeid': '3618', 'schoolname': '南京市溧水区和凤初级中学', 'gradename': '未分配', 'pageindex': 0, 'length': 10}]
10954 [{'pageno': 1, 'start': 0, 'classname': '（9）班', 'schoolid': '1387', 'isadmin': 0, 'classid': '1487', 'draw': 0, 'gradeid': '1390', 'schoolname': '上饶市广丰一中', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
10960 [{'pageno': 1, 'start': 0, 'classname': '高一(6)班', 'schoolid': '551', 'isadmin': 0, 'classid': '567', 'draw': 0, 'gradeid': '561', 'schoolname': '苏州星海实验中学', 'gradename': 'C4楼高中', 'pageindex': 0, 'length': 10}]
10961 [{'pageno': 1, 'start': 0, 'classname': '三班', 'schoolid': '3040', 'isadmin': 0, 'classid': '3290', 'draw': 0, 'gradeid': '3256', 'schoolname': '太仓市实验小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10974 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '1057', 'isadmin': 0, 'classid': '1210', 'draw': 0, 'gradeid': '1058', 'schoolname': '江苏省太仓高级中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10987 [{'pageno': 1, 'start': 0, 'classname': '（9）班', 'schoolid': '2206', 'isadmin': 0, 'classid': '2719', 'draw': 0, 'gradeid': '2680', 'schoolname': '江山二中', 'gradename': '九年级', 'pageindex': 0, 'length': 10}]
10993 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '7012', 'isadmin': 0, 'classid': '7306', 'draw': 0, 'gradeid': '7300', 'schoolname': '南京市溧水区第三小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
11010 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3614', 'isadmin': 0, 'classid': '4115', 'draw': 0, 'gradeid': '4104', 'schoolname': '南京市溧水区明觉初级中学', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
11026 [{'pageno': 1, 'start': 0, 'classname': '合班教室2', 'schoolid': '1057', 'isadmin': 0, 'classid': '7399', 'draw': 0, 'gradeid': '7380', 'schoolname': '江苏省太仓高级中学', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
11029 [{'pageno': 1, 'start': 0, 'classname': '（10）班', 'schoolid': '1', 'isadmin': 0, 'classid': '747', 'draw': 0, 'gradeid': '731', 'schoolname': '苏州紫橙实验学校', 'gradename': '初二', 'pageindex': 0, 'length': 10}]
11035 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '6571', 'isadmin': 0, 'classid': '6613', 'draw': 0, 'gradeid': '6577', 'schoolname': '洛阳西工区外国语小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
11037 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '4775', 'isadmin': 0, 'classid': '5420', 'draw': 0, 'gradeid': '5409', 'schoolname': '南通市北城小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
11038 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '120', 'isadmin': 0, 'classid': '245', 'draw': 0, 'gradeid': '237', 'schoolname': '苏州市勤惜实验小学校', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
11039 [{'pageno': 1, 'start': 0, 'classname': '6', 'schoolid': '944', 'isadmin': 0, 'classid': '1270', 'draw': 0, 'gradeid': '1193', 'schoolname': '南京市溧水区状元坊小学', 'gradename': '二楼公共大屏', 'pageindex': 0, 'length': 10}]
11044 [{'pageno': 1, 'start': 0, 'classname': '二', 'schoolid': '1041', 'isadmin': 0, 'classid': '3314', 'draw': 0, 'gradeid': '3310', 'schoolname': '常熟市东南实验小学', 'gradename': '美术教室', 'pageindex': 0, 'length': 10}]
11047 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '7012', 'isadmin': 0, 'classid': '7266', 'draw': 0, 'gradeid': '7013', 'schoolname': '南京市溧水区第三小学', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
11056 [{'pageno': 1, 'start': 0, 'classname': '（13）班', 'schoolid': '947', 'isadmin': 0, 'classid': '971', 'draw': 0, 'gradeid': '948', 'schoolname': '江苏省溧水高级中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
11061 [{'pageno': 1, 'start': 0, 'classname': '（9）班', 'schoolid': '5499', 'isadmin': 0, 'classid': '5554', 'draw': 0, 'gradeid': '5500', 'schoolname': '苏州湾实验小学', 'gradename': '二年级', 'pageindex': 0, 'length': 10}]
11068 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '1', 'isadmin': 0, 'classid': '699', 'draw': 0, 'gradeid': '685', 'schoolname': '苏州紫橙实验学校', 'gradename': '三年级', 'pageindex': 0, 'length': 10}]
11073 [{'pageno': 1, 'start': 0, 'classname': '（7）班', 'schoolid': '4800', 'isadmin': 0, 'classid': '6796', 'draw': 0, 'gradeid': '6789', 'schoolname': '贵州省施秉县民族中学', 'gradename': '七年级', 'pageindex': 0, 'length': 10}]
11077 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '6037', 'isadmin': 0, 'classid': '6136', 'draw': 0, 'gradeid': '6123', 'schoolname': '太仓市浮桥中学', 'gradename': '八年级', 'pageindex': 0, 'length': 10}]
11080 [{'pageno': 1, 'start': 0, 'classname': '（15）测试班', 'schoolid': '3747', 'isadmin': 0, 'classid': '4616', 'draw': 0, 'gradeid': '3855', 'schoolname': '泗阳县众兴实验小学', 'gradename': '六', 'pageindex': 0, 'length': 10}]
11089 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '1', 'isadmin': 0, 'classid': '3247', 'draw': 0, 'gradeid': '2120', 'schoolname': '苏州紫橙实验学校', 'gradename': '初三', 'pageindex': 0, 'length': 10}]
11097 [{'pageno': 1, 'start': 0, 'classname': '三', 'schoolid': '1041', 'isadmin': 0, 'classid': '3318', 'draw': 0, 'gradeid': '3311', 'schoolname': '常熟市东南实验小学', 'gradename': '书法教室', 'pageindex': 0, 'length': 10}]
